"ensemble_forecast_posterior_2017","ensemble_forecast_posterior_2019","ensemble_forecast_posterior_2020","ensemble_forecast_posterior_2022","ensemble_forecast_posterior_2023"
7659.05746743679,6613.57286398585,5518.6115528216,3858.57594985923,2923.95902086756
9142.11159502686,6678.34991851975,4831.50462442982,3369.72795428024,2927.73030772711
7419.90673844431,6428.61149675869,4959.23208949663,5034.54715057046,2930.08671258639
5977.38132967756,6846.11680174753,5039.36766007972,4930.24105061566,2936.69860589534
10299.6357707514,5642.62296695215,5838.10719173613,3415.38486047768,2940.78873697997
6181.62575732595,6444.25582975212,6074.53285035251,3517.84036554467,2944.58094029928
8359.70265328193,7004.26636609171,5415.9042407661,3847.59917798643,2946.47851422026
7088.26960281065,5885.64584300906,6243.53537831988,3405.034857159,2948.64309291226
10430.1789162497,7844.08076683949,6305.32291354528,3458.13668389943,2951.1936186774
11279.5503975171,7668.99000571446,5181.89794884565,3548.86037689692,2953.35605130937
9880.56575994132,7184.68188752898,4792.25729623931,3468.31624616249,2957.76350667172
8735.14011437606,6490.41571309923,5554.19113168683,3164.53617902183,2959.80760951443
7057.0906467334,7954.07606556189,6766.64395130597,4340.3976120327,2961.83066254118
10786.2025667477,5507.33048925958,4757.33817564783,4368.59962425129,2963.51112236397
8150.41228504584,8458.01486880878,4702.97281915529,4157.37853327759,2966.20277178467
6605.36123555832,8176.67363642149,5370.94005077286,3630.62882415699,2968.17506873773
8885.99665971931,5363.67033597412,4875.70063644052,4037.9951006147,2969.59285535223
7573.36012627928,5752.11002571642,5652.89083796872,5170.59548326631,2972.70226659388
7082.5022692572,7765.00204934514,5251.41500049683,3733.81098957578,2975.29769361022
9088.59257778067,7292.77650121986,5036.63478150826,5282.77652574022,2978.42968753904
9577.4266562334,6068.84809532939,5541.03428727174,4400.92497717245,2980.27057183701
8314.13083673248,8401.05793006885,5282.97261931154,4040.68904277478,2981.28868980011
6653.15883508699,6948.56710951929,5497.01693749273,4523.29029686738,2983.37633508217
7593.14557373642,7915.59866019865,5089.70306912511,3592.18023998385,2986.31601824935
8209.43819188665,5017.75899319626,5441.41452771766,4246.24501250153,2992.81787750998
8882.75811858897,6198.15356999991,4757.07705679925,3887.35397860556,2996.11002074696
9575.92217395497,7609.10835393935,5336.48765465027,3981.35941642286,2998.06544761436
9156.61281392386,6650.28696737885,4911.28264905467,2783.611674222,3000.33373166569
9444.99277686975,8165.34949544341,4543.0468598703,6566.34149898679,3003.22406390112
8974.42044004759,8183.72033897476,5454.47847844015,3697.67736770608,3005.037166943
8505.95643621674,7658.00467899574,5078.73528991657,4304.47907169835,3007.16559034772
